genes,ExonLength,chr,chr_start,chr_end,WT_rep_1,WT_rep_2,WT_rep_3,WT_rep_4,KO_rep_1,KO_rep_2,KO_rep_3,KO_rep_4,DKO_rep_1,DKO_rep_2,DKO_rep_3
1810013L24Rik,4066,16,8830099,8858916,1772,1725,1867,1863,1990,1779,2120,1450,1500,2379,1938
1810014B01Rik,1661,10,86685600,86694806,139,135,187,158,67,99,97,103,144,174,170
1810019D21Rik,1551,8,106135399,106138525,358,367,442,427,285,423,325,523,333,545,393
1810021B22Rik,896,15,89071195,89075852,23,22,20,29,17,20,10,21,17,31,31
1810022K09Rik,1753,3,14606283,14611285,138,131,121,170,250,214,193,313,156,185,170
1810024B03Rik,3550,2,127186354,127208280,69,81,85,86,91,93,91,106,69,115,105
1810026B05Rik,5140,7,73539800,73558395,27,28,41,43,17,26,26,17,29,39,34
1810026J23Rik,3170,9,21592721,21595970,3050,2589,2844,2793,2279,2189,2412,1597,2237,3175,2900
1810030O07Rik,2699,X,12654878,12673668,898,883,940,897,1241,994,1221,860,884,1301,1149
1810032O08Rik,2776,11,116671659,116675799,129,144,124,153,256,367,303,370,138,260,170
1810034E14Rik,1805,13,64248699,64268148,35,51,56,32,18,30,25,24,37,30,44
1810037I17Rik,1131,3,122924241,122926194,1057,1117,1149,968,1558,1430,1482,1336,1165,1566,1432
1810041L15Rik,6551,15,84379202,84447097,209,166,253,174,138,97,103,70,129,248,145
1810043G02Rik,6627,10,77978523,77986905,769,834,879,845,943,931,953,917,725,1092,1053
1810043H04Rik,834,11,120098927,120100705,756,696,796,633,636,708,712,672,616,904,828
1810049J17Rik,462,15,12321437,12321899,65,75,66,53,40,40,79,34,45,64,44
1810055G02Rik,1882,19,3708332,3717881,306,381,309,297,683,472,823,338,356,457,398
1810058I24Rik,2784,6,35252653,35263496,1910,1940,2392,1918,2806,2370,2446,2570,2156,2614,2467
1810059H22Rik,2897,5,148953747,148970122,31,26,37,33,17,34,22,30,36,29,49
1810062G17Rik,911,3,36475936,36482299,2,8,7,3,19,17,26,12,11,15,8
1810063I02Rik,274,11,59921498,59921889,32,20,14,25,22,51,33,30,21,19,22
1810064F22Rik,2753,9,22196962,22213860,8,11,11,14,32,24,44,22,11,17,19
2010001A14Rik,714,11,57795498,57801417,213,195,254,211,142,185,132,162,145,239,227
2010001E11Rik,2285,10,39920381,39926923,9,9,11,14,9,8,13,11,10,19,6
2010002M12Rik,3367,19,34617048,34640743,62,75,76,74,45,25,32,26,82,129,113
2010003K11Rik,1165,19,4496789,4498583,15,26,53,43,57,85,56,78,45,55,53
2010005H15Rik,639,16,36221467,36257444,5,10,18,10,3,0,0,3,6,9,26
2010007H06Rik,4934,9,51278512,51284210,36,39,47,41,41,38,61,57,27,44,31
2010012O05Rik,2176,19,46689905,46703382,328,311,356,343,506,441,599,377,351,452,481
2010107E04Rik,365,12,111961375,111966977,5240,4555,5074,4553,4285,4707,3753,4318,4017,5051,5892
2010107G23Rik,2981,10,62107654,62143920,218,286,269,236,311,277,399,283,233,399,405
2010109A12Rik,549,5,93206517,93213475,8,10,4,7,6,5,0,4,9,12,12
2010111I01Rik,6349,13,63014933,63326096,895,876,970,898,1442,1357,1672,1375,899,1391,1147
2010204K13Rik,1583,X,7411816,7445143,329,297,345,270,206,319,231,295,263,358,270
2010300C02Rik,5075,1,37611676,37720085,53,117,50,55,73,112,85,51,49,63,36
2010315B03Rik,3914,9,124291803,124312696,856,729,893,822,765,839,957,722,773,1003,985
2200002D01Rik,1530,7,29246560,29248432,134,240,193,199,830,590,797,754,223,228,256
2200002J24Rik,333,7,30699782,30700380,10,6,13,7,6,5,14,14,2,6,10
2210011C24Rik,1413,8,84010221,84012171,294,321,370,381,296,303,228,282,297,361,262
2210013O21Rik,1880,X,153723589,153741920,349,338,372,319,506,380,496,429,326,495,489
2210015D19Rik,3102,11,5762128,5784710,735,597,718,648,689,717,724,562,554,754,677
2210016F16Rik,2822,13,58380045,58385225,1948,1754,2056,1948,2101,1819,1880,1810,1833,2224,2020
2210016L21Rik,3303,5,114942157,114949783,1576,1419,1747,1562,2108,1651,1911,1902,1380,1945,1870
2210018M11Rik,4005,7,98590614,98656569,796,782,830,824,842,638,913,521,702,1147,934
2210404O09Rik,3167,17,21879569,21909926,75,91,90,64,154,143,190,103,103,132,123
2210406O10Rik,2472,5,36447610,36464853,32,27,27,27,9,38,19,28,23,40,41
2210408F21Rik,1476,6,31220350,31337404,293,358,284,227,371,281,266,275,282,318,324
2210408I21Rik,4558,13,77135539,77613291,282,252,255,272,273,259,328,212,221,311,313
2300009A05Rik,911,9,63394446,63399246,219,259,253,183,198,196,181,217,199,244,256
2310001H17Rik,5694,6,129208411,129237982,230,216,266,209,279,217,250,207,278,405,372
2310002J15Rik,1330,2,25238817,25242452,11,8,12,16,8,8,9,5,6,11,7
2310003H01Rik,5212,11,120369054,120378764,754,761,853,786,979,892,1242,923,702,936,907
2310007B03Rik,2368,1,93151348,93160948,303,321,382,428,185,215,209,196,334,400,399
2310009B15Rik,571,1,138851978,138856854,88,92,85,61,140,172,145,138,93,142,110
2310010J17Rik,451,7,90124857,90129474,85,79,92,66,59,101,63,85,83,93,102
2310011J03Rik,1649,10,80318253,80320537,1101,1034,1054,1071,1550,1355,1780,1343,1056,1535,1560
2310014F06Rik,659,7,112613467,112680058,12,9,10,16,11,14,22,16,13,14,15
2310014L17Rik,3239,7,12927415,12931072,9,19,5,4,5,9,8,7,10,8,9
2310015A10Rik,4843,12,80120547,80132844,228,171,242,242,283,281,381,246,169,300,301
2310015B20Rik,1180,10,70204663,70219711,12,13,13,7,6,14,7,8,5,14,16
2310016G11Rik,881,7,44676964,44678235,16,11,18,20,4,8,2,12,17,26,18
2310022A10Rik,4780,7,27553232,27582099,406,422,456,430,646,487,692,517,392,629,565
2310022B05Rik,3297,8,124635765,124663369,1836,1896,1935,1812,3660,2824,4051,1798,2142,2599,2115
2310026L22Rik,400,4,138215713,138216189,17,11,10,15,16,15,11,10,17,20,17
2310030G06Rik,1242,9,50739690,50746521,1096,1106,1070,1133,1353,1113,1110,1215,1132,1253,1339
2310033P09Rik,1285,11,59208320,59210738,299,316,299,326,438,424,477,498,299,436,357
2310035C23Rik,9500,1,105663860,105755191,1251,1146,1186,1236,1243,1278,1707,1022,1033,1572,1292
2310036O22Rik,891,8,85026832,85030285,2241,2401,2608,2510,3086,2498,2812,3224,2471,2804,2553
2310045N01Rik,2743,8,70139498,70167488,906,850,894,899,1002,790,983,933,758,964,1000
2310047M10Rik,1862,11,69059716,69061578,393,382,423,346,666,497,662,486,361,542,500
2310057M21Rik,2214,7,131342717,131362698,26,30,35,24,36,30,36,18,24,31,26
2310058D17Rik,3201,11,58965747,58978050,25,30,28,25,28,15,17,12,13,27,22
2310061I04Rik,2414,17,35892676,35897431,1989,1987,2050,1879,1481,1505,1535,1846,1544,2114,1959
2310067B10Rik,5920,11,115765432,115799366,4450,4017,4565,4350,3853,3642,4117,2746,3549,5629,5124
2410002F23Rik,5233,7,44246721,44252319,28,23,39,26,52,39,72,30,17,51,37
2410003L11Rik,1144,11,97598510,97622893,39,48,54,33,15,13,12,16,27,47,64
2410004B18Rik,2029,3,145938013,145944829,488,488,476,503,545,381,523,477,465,658,526
2410004N09Rik,430,18,33794891,33795986,134,164,139,132,266,324,210,376,154,249,226
2410004P03Rik,3537,12,17003318,17011727,0,3,2,2,23,17,27,7,7,3,4
2410006H16Rik,462,11,62602876,62604807,200,257,208,197,720,589,702,666,334,648,423
2410015M20Rik,755,17,56607451,56609771,4268,4021,4486,3602,3290,3915,3271,3343,3189,4262,4763
2410016O06Rik,2346,12,83950607,83952953,303,281,296,260,390,359,475,359,288,425,318
2410018L13Rik,4122,12,22953996,23010284,3,11,12,7,16,26,17,13,7,13,15
2410089E03Rik,13017,15,8169105,8271158,808,806,887,848,1111,925,1226,685,824,1209,937
2410127L17Rik,2090,19,18670779,18704788,394,305,322,405,375,350,391,303,364,452,412
2410131K14Rik,5649,5,118245226,118266093,1041,1092,1142,1022,1053,957,1211,672,934,1440,1192
2500002B13Rik,2618,8,57488053,57508877,177,176,232,174,105,100,64,127,174,220,197
2500004C02Rik,2147,2,153341156,153346073,139,124,146,154,145,101,123,110,132,160,135
2510002D24Rik,1486,16,18836577,18840160,24,32,36,18,27,21,32,17,21,30,23
2510003E04Rik,6547,10,62538625,62578457,2172,2033,2029,2094,1829,1566,1866,1315,1814,2239,2080
2510009E07Rik,5164,16,21649044,21694665,1605,1596,1772,1466,2022,1520,2122,1234,1461,2054,1621
2510039O18Rik,2731,4,147940894,147947314,2359,2502,2627,2590,3209,2822,3771,2709,2239,3344,3095
2510049J12Rik,2542,6,115583543,115592576,371,278,395,285,620,485,640,519,342,454,389
2610001J05Rik,3784,6,13867734,13871518,1675,1562,1724,1438,1860,1680,1705,1400,1521,1831,1834
2610002J02Rik,1743,4,155249801,155256687,1081,984,1091,1049,1464,1337,1421,1333,1106,1430,1453
2610002M06Rik,6337,X,107782750,107816334,882,783,931,814,1043,817,1153,650,879,1184,1204
2610005L07Rik,4163,8,20385781,20424814,23,44,26,32,37,37,57,12,20,40,36
2610008E11Rik,4229,10,79064373,79097600,622,491,624,631,722,672,793,448,530,882,668
2610015P09Rik,4230,16,43889799,43964314,271,244,297,316,293,216,251,246,241,414,304
2610018G03Rik,5271,X,50841046,50893097,172,161,216,185,206,182,268,166,211,321,307
2610020H08Rik,4782,7,119794005,119848943,60,55,78,74,116,78,112,89,64,112,86
2610021A01Rik,4004,7,41599260,41628533,315,360,369,325,344,289,367,276,327,470,416
2610027K06Rik,2574,11,85791660,85832223,10,8,14,9,7,4,1,3,11,12,8
2610034B18Rik,2277,7,79925360,79935359,991,1062,1107,949,1841,1401,1996,1219,1002,1190,1429
2610035D17Rik,2121,11,113043894,113201838,340,286,430,326,309,169,328,192,319,238,319
2610044O15Rik8,3858,8,129216353,129234406,320,305,364,379,391,336,467,282,306,448,431
2610203C20Rik,8588,9,41376396,41617772,17,41,30,36,134,98,144,82,41,49,28
2610203C22Rik,4910,1,9560831,9631175,6,9,11,9,11,8,11,7,6,14,17
2610206C17Rik,1655,7,84689639,84776549,20,15,20,16,25,25,23,15,10,19,20
2610301B20Rik,2391,4,10874497,10899425,423,418,506,425,631,507,665,437,443,662,609
2610305D13Rik,4111,4,147611936,147642513,37,38,53,32,85,49,74,46,50,84,57
2610307P16Rik,3293,13,28460033,28885620,67,59,91,46,65,44,90,68,59,79,68
2610507B11Rik,8798,11,78261751,78290623,24644,21371,25071,22726,17527,17323,18123,9287,19103,28336,25196
2610507I01Rik,1360,11,59199835,59202385,215,193,220,196,160,177,224,148,166,256,236
2610524H06Rik,947,5,114821934,114823468,1,1,4,1,7,7,14,12,1,3,3
2610528A11Rik,828,14,37102139,37114022,8,11,6,4,14,14,11,4,6,6,8
2610528J11Rik,1202,4,118526998,118530228,1770,1581,1991,1615,811,1149,928,1052,1293,1872,1834
2700029M09Rik,1701,8,60890417,60907580,555,495,581,521,750,643,735,574,600,735,666
2700033N17Rik,721,2,116066217,116067444,26,21,35,25,40,46,36,37,21,41,40
2700038G22Rik,1261,5,23850596,23854924,24,22,29,43,60,27,67,35,34,44,29
2700046G09Rik,1641,19,32389215,32391184,126,149,162,134,131,142,112,145,117,161,187
2700049A03Rik,5879,12,71136847,71243303,286,319,324,315,376,255,406,185,265,393,356
2700060E02Rik,1510,14,19811401,19823823,2139,2000,2091,2052,2562,2454,2304,2318,2123,2617,2536
2700062C07Rik,1040,18,24470860,24477765,327,298,368,332,419,374,406,347,333,355,417
2700081O15Rik,5216,19,7417624,7425904,478,622,551,499,850,656,1156,496,571,870,505
2700089E24Rik,2738,6,133105238,133110899,3887,3636,4180,3903,3189,2621,2814,2645,3809,4497,3771
2700094K13Rik,1131,2,84669214,84670770,71,78,99,97,177,175,199,214,101,139,155
2700097O09Rik,4939,12,55045660,55080110,258,253,280,328,221,198,186,216,247,274,229
2700099C18Rik,2181,17,94750099,94775132,2,2,7,6,10,6,13,9,3,9,10
2810001G20Rik,1057,11,64079483,64083259,152,161,154,136,229,201,201,186,134,249,196
2810002D19Rik,2040,2,94406150,94411682,235,208,279,226,208,153,189,133,195,243,229
2810004N23Rik,1382,8,124839354,124863029,236,229,230,234,245,201,251,145,232,290,245
2810006K23Rik,2873,5,124328088,124341844,442,411,448,434,385,352,371,371,376,505,503
2810008D09Rik,848,11,117076789,117078955,154,167,163,238,278,255,282,596,173,300,167
2810021J22Rik,3928,11,58867215,58883288,304,293,343,300,292,265,333,192,288,360,380
2810025M15Rik,1264,1,157412351,157420236,577,578,583,575,739,714,685,686,566,707,720
2810029C07Rik,1950,12,111572320,111574402,105,140,174,137,197,198,166,221,127,187,198
2810032G03Rik,3173,12,5375869,5416631,68,68,97,105,41,66,36,26,76,112,96
2810039B14Rik,5632,15,75642128,75653643,173,120,178,188,165,195,137,106,157,235,194
2810055G20Rik,10145,16,77236316,77691403,64,52,52,49,38,47,37,56,51,90,70
2810403A07Rik,2999,3,88685793,88712933,1678,1647,1683,1721,1714,1751,2305,1914,1323,2479,1778
2810403D21Rik,7094,X,108834477,108974906,58,50,60,76,72,102,107,83,58,106,102
2810408A11Rik,2368,11,69897351,69900987,37,39,46,26,88,120,144,100,50,56,79
2810408I11Rik,1001,1,64679870,64690659,20,13,23,10,17,5,14,11,16,13,14
2810408M09Rik,2118,2,165490109,165493324,358,326,364,364,426,397,476,405,292,492,397
2810410L24Rik,3028,11,120185399,120189852,155,187,237,200,166,198,199,210,175,260,232
2810425M01Rik,1850,10,77486663,77516430,45,16,32,35,14,21,12,14,15,27,28
2810428I15Rik,1822,8,70504291,70506752,1129,1006,1192,1023,1307,1159,1231,1532,1073,1410,1269
2810429I04Rik,6797,13,3478229,3501393,8,7,13,16,21,12,29,23,17,19,17
2810430I11Rik,3416,2,27882924,27887052,1,3,4,2,18,14,22,3,6,10,4
2810433D01Rik,1205,11,102619795,102624416,31,19,40,38,36,27,26,9,34,43,30
2810459M11Rik,3331,1,86045862,86055456,13,14,17,8,33,50,69,48,18,13,5
2810468N07Rik,1349,17,25570810,25575043,5,13,9,4,27,18,18,9,6,13,13
2810474O19Rik,6802,6,149309413,149335663,979,1248,967,1000,2064,1870,2269,1216,1228,2161,1448
2900005J15Rik,1813,5,25100982,25110109,25,18,17,11,32,44,45,62,15,18,13
2900011O08Rik,2395,16,13986603,14101500,5,8,6,10,21,13,20,13,6,17,18
2900026A02Rik,5876,5,113086322,113163351,1638,1499,1686,1560,1969,1658,2149,1379,1362,1853,1887
2900041M22Rik,1784,11,117611246,117613857,8,11,8,2,22,19,12,20,4,3,9
2900052L18Rik,1588,11,120229801,120231585,82,97,103,92,124,173,168,161,90,108,119
2900076A07Rik,1993,7,81523549,81531498,67,64,77,70,108,66,90,94,64,99,62
2900089D17Rik,2583,5,144241689,144256186,7,8,14,11,25,31,23,22,13,15,10
3000002C10Rik,3981,9,109827942,109832706,65,65,66,85,52,53,57,75,39,79,57
3010001F23Rik,1816,X,152368572,152416698,2,3,6,6,7,12,18,16,8,12,10
3010003L21Rik,1747,6,148944866,148947129,5,4,8,8,12,13,8,13,5,3,8
3010026O09Rik,2039,11,50174443,50200115,170,159,229,161,117,210,147,125,156,242,213
3110002H16Rik,5768,18,12168716,12189997,773,701,745,734,803,643,907,659,652,940,857
3110007F17Rik,5824,X,123103494,123188795,53,50,85,55,94,76,117,62,58,101,104
3110009E18Rik,2428,1,120121186,120188189,37,30,39,26,51,44,49,38,32,44,48
3110040N11Rik,1231,7,81782181,81789478,533,517,541,480,541,510,514,488,428,603,612
3110043O21Rik,4603,4,35191284,35226175,397,413,441,392,568,371,586,335,416,622,513
3110045C21Rik,1134,1,169969408,169972395,113,123,148,98,10,15,12,15,26,45,108
3110052M02Rik,1383,17,21657581,21662540,71,84,99,75,100,58,85,58,69,132,91
